Order	Family	Sp1	Sp2	Condition	Reference
Lepidoptera	Papilionidae	Parnassius bremeri	Parnassius nomion	Field	Zakharov, EV, 2001
Lepidoptera	Pieridae	Anthocharis cardamines	Anthocharis euphenoides	Laboratory	Presgraves, DC, 2002
Lepidoptera	Pieridae	Anthocharis cardamines	Euchloe ausonia	Laboratory	Presgraves, DC, 2002
Lepidoptera	Pieridae	Anthocharis cardamines	Euchloe simplonia	Laboratory	Presgraves, DC, 2002
Lepidoptera	Pieridae	Colias alexandra	Colias eurytheme	Laboratory	Presgraves, DC, 2002
Lepidoptera	Pieridae	Colias alfacariensis	Colias hyale	Laboratory	Presgraves, DC, 2002
Lepidoptera	Pieridae	Colias crocea	Colias erate	Field	Milovanov, AE; Simchuk, AP; Ivashov, AV, 2004
Lepidoptera	Pieridae	Colias crocea	Colias hyale	Field	Presgraves, DC, 2002
Lepidoptera	Pieridae	Colias erate	Colias eurytheme	Laboratory	Presgraves, DC, 2002
Lepidoptera	Pieridae	Colias eurytheme	Colias interior	Field	Presgraves, DC, 2002
Lepidoptera	Pieridae	Colias eurytheme	Colias philodice	Field	Presgraves, DC, 2002
Lepidoptera	Pieridae	Colias interior	Colias philodice	Laboratory	KAROWE, DN, 1994
Lepidoptera	Pieridae	Enantia albania	Enantia jethys	Field	Jasso-Martinez, JM; Machkour-M'Rabet, S; Vila, R; Rodriguez-Arnaiz, R; Castaneda-Sortibran, AN, 2018
Lepidoptera	Pieridae	Enantia albania	Enantia mazai	Field	Jasso-Martinez, JM; Machkour-M'Rabet, S; Vila, R; Rodriguez-Arnaiz, R; Castaneda-Sortibran, AN, 2018
Lepidoptera	Pieridae	Leptidea reali	Leptidea sinapis	Field	Verovnik, R; Glogovcan, P, 2007
Lepidoptera	Pieridae	Pieris bryoniae	Pieris napi	Laboratory	Presgraves, DC, 2002
Lepidoptera	Pieridae	Pieris callidice	Pieris occidentalis	Laboratory	Presgraves, DC, 2002
Lepidoptera	Pieridae	Pieris dulcinea	Pieris napi	Laboratory	Presgraves, DC, 2002
Lepidoptera	Pieridae	Pieris ergane	Pieris napi	Laboratory	Presgraves, DC, 2002
Lepidoptera	Pieridae	Pieris macdunnoughii	Pieris napi	Laboratory	Chew, FS; Watt, WB, 2006
